BGIT,68.6343,-51.8323,Ikamiut Heliport,Ikamiut,-3
BGJH,60.7157,-46.0299,Qaqortoq Heliport,Qaqortoq,-3
BGJN,69.2432,-51.0571,Ilulissat Airport,Ilulissat,-3
BGKA,68.3127,-53.4602,Kangaatsiaq Heliport,Kangaatsiaq,-3
BGKK,65.5736,-37.1236,Kulusuk Airport,Kulusuk,-2
BGKL,72.1527,-55.5310,Upernavik Kujalleq Heliport,Upernavik Kujalleq,-3
BGKM,65.8639,-36.9979,Kuummiut Heliport,Kuummiut,-3
BGKS,72.3811,-55.5366,Kangersuatsiaq Heliport,Kangersuatsiaq,-3
BGKT,68.8579,-53.1233,Kitsissuarsuit Heliport,Kitsissuarsuit,-3
BGLL,71.2419,-53.5629,Illorsuit Heliport,Illorsuit,-3
BGMQ,65.4125,-52.9394,Maniitsoq Airport,Maniitsoq,-3
BGNK,68.2364,-52.8521,Niaqornaarsuk Heliport,Niaqornaarsuk,-3
BGNN,60.1419,-45.2330,Nanortalik Heliport,Nanortalik,-3
BGNQ,71.5388,-53.2050,Nuugaatsiaq Heliport,Nuugaatsiaq,-3
BGNS,60.9173,-46.0599,Narsaq Heliport,Narsaq,-3
BGNT,70.7894,-53.6629,Niaqornat Heliport,Niaqornat,-3
BGPT,62.0147,-49.6709,Paamiut Airport,Paamiut,-3
BGQE,69.9959,-51.3009,Qeqertaq Heliport,Qeqertaq,-3
BGQQ,77.4886,-69.3887,Qaanaaq Airport,Qaanaaq,-4
BGQT,60.7810,-47.1562,Qassimiut Heliport,Qassimiut,-3
BGSC,70.4882,-21.9717,Ittoqqortoormiit Heliport,Ittoqqortoormiit,-1
BGSF,67.0104,-50.7153,Kangerlussuaq International Airport,Kangerlussuaq,-3
BGSG,65.9059,-36.3783,Sermiligaaq Heliport,Sermiligaaq,-3
BGSI,77.7865,-70.6387,Siorapaluk Heliport,Siorapaluk,-4
BGSO,60.5378,-46.0247,Saarloq Heliport,Saarloq,-3
BGSQ,70.0114,-51.9321,Saqqaq Heliport,Saqqaq,-3
BGSS,66.9513,-53.7293,Sisimiut Airport,Sisimiut,-3
BGST,70.8112,-51.6313,Saattut Heliport,Saattut,-3
BGSV,76.0186,-65.1177,Savissivik Heliport,Savissivik,-4
BGTA,73.3731,-56.0603,Tasiusaq Heliport,Tasiusaq,-3
BGTL,76.5306,-68.7005,Pituffik Space Base,Pituffik,-4
BGTN,65.8920,-37.7834,Tiniteqilaaq Heliport,Tiniteqilaaq,-3
BGTQ,60.1943,-44.8134,Tasiusaq Heliport,Tasiusak,-3
BGUK,72.7902,-56.1306,Upernavik Airport,Upernavik,-3
BGUM,70.6804,-52.1116,Uummannaq Heliport,Uummannaq,-3
BGUQ,70.7342,-52.6962,Qaarsut Airport,Uummannaq,-3
BGUT,71.0494,-51.8900,Ukkusissat Heliport,Ukkusissat,-3
BIAR,65.6566,-18.0720,Akureyri International Airport,Akureyri,0
BIBD,65.6413,-23.5462,Bildudalur Airport,Bildudalur,0
BIEG,65.2833,-14.4014,Egilsstaðir Airport,Egilsstaðir,0
BIGR,66.5458,-18.0173,Grímsey Airport,Grímsey/Sandvík,0
BIHN,64.2956,-15.2272,Hornafjörður Airport,Höfn,0
